movieNm,movieCd,image,link,userRating
구스범스: 몬스터의 역습,20182693,https://ssl.pstatic.net/imgmovie/mdi/mit110/1728/172819_P01_163303.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172819,7.39
신비한 동물들과 그린델왈드의 범죄,20176814,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154255_P24_095824.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154255,6.18
번 더 스테이지: 더 무비,20183050,https://ssl.pstatic.net/imgmovie/mdi/mit110/1763/176354_P13_150227.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176354,9.31
성난황소,20184481,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174835_P26_105639.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174835,7.52
출국,20182935,https://ssl.pstatic.net/imgmovie/mdi/mit110/1864/186453_P03_141045.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186453,0.00
너의 췌장을 먹고 싶어,20186822,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175318_P15_105507.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175318,8.25
해피 투게더,20189869,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164147_P46_165808.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164147,7.49
베일리 어게인,20183073,https://ssl.pstatic.net/imgmovie/mdi/mit110/1449/144906_P15_103017.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144906,9.53
툴리,20182669,https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154653_P12_102646.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154653,8.84
국가부도의 날,20177552,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164192_P45_134107.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164192,8.16
후드,20181905,https://ssl.pstatic.net/imgmovie/mdi/mit110/1826/182650_P01_181030.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182650,0.00
거미줄에 걸린 소녀,20183007,https://ssl.pstatic.net/imgmovie/mdi/mit110/1618/161868_P24_151256.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161868,7.88
투 프렌즈,20182966,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179138_P01_151818.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179138,4.54
도어락,20179230,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171755_P39_140011.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171755,6.01
호두까기 인형과 4개의 왕국,20189843,https://ssl.pstatic.net/imgmovie/mdi/mit110/1586/158622_P18_142307.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158622,7.16
모털 엔진,20178825,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156496_P24_153246.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156496,6.15
런닝맨 : 풀룰루의 역습,20183745,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180384_P14_152246.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180384,7.73
